model,precision,recall,error_rate
claude-3-haiku-20240307,88.2179675994109,88.08823529411765,6.1946902654867255
claude-3-opus-20240229,97.8827361563518,89.97005988023953,3.076923076923077
claude-3-sonnet-20240229,93.97590361445782,93.41317365269461,3.230769230769231
gemini-1.0-pro,98.35164835164835,80.99547511312217,5.194305502116199
gpt-3.5-turbo-1106,82.32558139534885,53.47432024169184,14.76923076923077
gpt-4-1106-preview,96.96000000000001,90.71856287425149,3.1165833012697193
